NAME,CODE
SARAI KALE KHAN - NIZAMUDDIN,NIZM
ASHRAM ,AHRM
VINOBAPURI,VNPR
LAJPAT NAGAR,LJPN
SOUTH EXTENSION ,SOEN
DILLI HAAT - INA,INA
SAROJINI NAGAR ,SOJI
BHIKAJI CAMA PLACE ,BKCP
SIR M. VISHWESHWARAIAH MOTI BAGH,SVMB
DURGABAI DESHMUKH SOUTH CAMPUS ,DDSC
DELHI CANTT.,DLIC
NARAINA VIHAR,NAVR
MAYAPURI,MYPI
RAJOURI GARDEN,RG
ESI-BASAIDARAPUR,ESIH
PUNJABI BAGH WEST,PBGW
SHAKURPUR,SAKP
NETAJI SUBHASH PLACE,NSHP
SHALIMAR BAGH,SMBG
AZADPUR,AZU
MAJLIS PARK ,MKPR
JANAKPURI WEST,JPW
DABRI MOR-JANAKPURI SOUTH,DBMR
DASHRATHPURI,DSHP
PALAM ,PALM
SADAR BAZAR CANTONMENT,SABR
TERMINAL1-IGI AIRPORT,IGDA
SHANKAR VIHAR,SKVR
VASANT VIHAR ,VTVR
MUNIRKA ,MIRK
R.K.PURAM ,RKPM
IIT ,IIT
HAUZ KHAS,HKS
PANCHSHEEL PARK ,PSPK
CHIRAG DELHI ,CDLI
GREATER KAILASH,GKEI
NEHRU ENCLAVE,NUEE
KALKAJI MANDIR,KJMD-8
OKHLA NSIC,OKNS
SUKHDEV VIHAR ,IWNR
JAMIA MILLIA ISLAMIA ,JANR
OKHLA VIHAR,OVA
JASOLA VIHAR SHAHEEN BAGH ,JLA-8
KALINDI KUNJ,KIKJ
OKHLA BIRD SANCTUARY,OBC
BOTANICAL GARDEN,BCGN-8
DWARKA,DW-9
NANGLI,NNGI
NAJAFGARH,NFGH
DHANSA BUS STAND,DNBT
NEW DELHI,NDRU
SHIVAJI STADIUM,SJSU
DHAULA KUAN,DKV
DELHI AEROCITY,DACY
AIRPORT (T-3)  ,APOT
DWARKA SECTOR-21,DSTO
SECTOR-55-56,S55
SECTOR-54 CHOWK,AIT
SECTOR-53-54,S53
SECTOR-42-43,SUL
PHASE-1,PH1
SIKANDERPUR,SIK
PHASE-2,PH2
BELVEDERE TOWERS,PH3
CYBER CITY,MAL
MOULSARI AVENUE,GAT
PHASE-3,BEL
